cpu_usage,memory_usage,bandwidth_usage,packet_loss,network_load,active_users,request_rate,instance_count,time_of_day,is_peak_hour,latency,jitter,throughput,qos_status
94.62,96.26,80.96,3.76,93.97,662,1403.96,1,5,0,156.15,39.98,36.59,Critical
92.51,90.99,99.04,4.96,93.07,883,1791.27,3,12,0,165.48,50.45,47.65,Critical
88.06,93.06,93.68,4.91,84.3,914,1778.55,3,12,0,165.97,43.17,44.04,Critical
72.34,59.0,62.37,0.93,67.87,403,1206.33,2,20,1,109.0,22.36,93.66,Warning
89.67,89.35,89.84,4.33,91.33,656,1536.99,2,14,0,168.14,41.98,46.27,Critical
94.31,97.58,83.34,3.69,92.4,658,1985.95,1,15,0,162.74,39.3,62.35,Critical
73.49,55.96,74.02,1.4,65.7,312,1279.09,3,17,0,100.28,24.57,82.59,Warning
82.03,75.14,62.2,1.67,57.43,263,1306.69,5,15,0,92.06,25.81,89.06,Warning
11.3,35.8,51.87,0.63,13.36,293,104.85,7,10,1,28.63,15.25,134.8,Good
58.78,58.22,61.94,0.89,51.01,401,1033.4,3,0,0,74.01,15.87,94.88,Good
70.43,57.29,71.3,1.95,59.95,643,1145.36,5,13,0,90.78,27.92,94.95,Warning
98.54,81.56,84.65,3.24,88.83,749,1613.95,3,4,0,147.39,36.68,66.71,Critical
90.11,84.43,93.93,4.75,86.41,845,1915.51,1,19,1,196.6,48.23,36.09,Critical
82.15,77.65,81.82,0.94,65.98,489,602.81,2,8,1,117.89,25.04,82.97,Warning
26.77,49.8,32.02,0.15,19.71,181,634.59,7,18,1,26.03,10.26,141.85,Good
33.73,29.63,44.19,0.56,44.24,215,511.77,3,9,1,58.59,17.26,107.68,Good
65.91,74.63,56.26,1.23,56.65,319,926.54,2,21,1,97.27,22.58,85.81,Warning
17.55,21.82,50.6,0.54,38.0,119,367.77,3,12,0,37.98,11.72,115.4,Good
34.83,57.8,33.3,0.83,40.28,156,470.91,5,16,0,49.66,19.6,113.33,Good
45.49,47.39,52.76,0.43,13.13,47,70.37,6,14,0,40.0,13.48,130.39,Good
35.8,53.54,42.5,0.13,33.7,66,74.2,4,2,0,41.28,10.75,125.96,Good
93.25,83.19,87.52,4.74,80.34,903,1972.87,2,13,0,172.88,42.15,50.68,Critical
27.4,55.21,54.12,0.39,45.46,75,578.55,5,22,0,48.34,10.76,117.24,Good
48.39,40.84,37.96,0.09,27.3,116,215.25,6,6,0,32.03,9.3,132.37,Good
71.18,64.96,84.04,1.62,55.16,501,907.2,4,11,1,105.73,29.0,91.93,Warning
73.2,71.67,79.65,0.84,59.69,644,1004.18,3,17,0,88.97,19.55,89.72,Warning
80.76,98.82,93.29,4.85,83.99,951,1429.42,2,17,0,167.45,46.49,44.22,Critical
97.79,86.71,97.95,3.77,93.76,881,1560.4,3,5,0,153.1,38.56,55.96,Critical
11.81,26.67,30.4,0.25,20.36,46,140.45,6,13,0,9.49,2.74,132.51,Good
98.79,76.97,86.98,4.9,81.66,684,1828.75,3,14,0,161.86,41.8,46.7,Critical
50.03,56.47,37.35,0.77,39.6,93,587.73,6,23,0,50.19,10.25,121.4,Good
14.87,40.24,33.72,0.04,43.03,274,637.33,5,10,1,39.22,15.15,126.02,Good
83.62,79.78,60.31,0.52,56.87,384,788.27,4,16,0,87.21,15.69,103.29,Warning
19.57,42.48,34.2,0.59,23.9,74,631.03,6,3,0,27.36,5.7,121.97,Good
94.3,98.21,95.94,4.02,82.32,647,1777.69,3,15,0,164.84,39.15,49.13,Critical
77.71,56.65,61.64,0.72,69.09,430,1322.37,2,14,0,101.56,19.48,79.38,Warning
65.17,79.68,66.92,2.17,49.21,577,1245.86,2,8,1,131.56,30.51,81.99,Warning
35.8,42.83,51.14,0.53,15.48,283,109.36,6,8,1,34.93,7.79,122.29,Good
55.67,84.65,69.51,0.57,68.6,439,1405.23,5,9,1,93.01,24.6,101.62,Warning
80.5,62.39,69.4,1.73,57.86,342,812.99,2,11,1,110.88,28.95,78.0,Warning
89.15,91.07,82.06,4.76,91.37,948,1800.65,2,16,0,171.67,45.25,44.61,Critical
86.01,96.54,98.67,4.37,84.63,641,1778.76,1,23,0,164.8,41.97,37.5,Critical
37.68,38.24,11.75,0.03,13.62,237,534.87,5,23,0,27.28,4.14,130.21,Good
23.08,41.75,22.4,0.22,31.1,153,696.29,6,23,0,33.01,9.45,135.46,Good
24.88,42.54,48.36,0.39,12.45,248,668.88,3,20,1,53.56,14.17,115.82,Good
80.48,73.45,75.65,0.97,59.85,351,1457.51,4,19,1,107.07,21.84,97.05,Warning
92.3,92.42,85.89,3.87,92.68,746,1979.0,2,23,0,162.13,40.65,46.85,Critical
10.19,27.52,10.18,0.72,27.02,166,545.12,4,18,1,24.78,11.0,136.71,Good
20.0,28.52,28.41,0.99,10.03,168,84.24,6,6,0,15.76,9.23,122.13,Good
49.86,55.44,19.41,0.16,31.89,105,390.51,7,20,1,33.27,10.24,139.79,Good
26.99,25.46,10.75,0.75,19.54,197,136.12,6,2,0,16.39,8.4,138.2,Good
84.15,54.78,69.89,2.1,66.02,612,1124.6,5,12,0,102.12,28.65,91.37,Warning
93.27,80.4,88.08,4.44,99.07,680,1551.72,2,13,0,164.25,41.08,46.4,Critical
83.61,89.86,88.53,3.34,91.31,642,1518.85,1,7,0,155.36,34.93,58.21,Critical
80.08,67.47,72.84,1.81,77.14,252,863.11,2,21,1,114.7,25.34,81.72,Warning
65.87,58.67,64.3,1.53,74.84,614,1243.53,2,8,1,112.6,25.71,79.94,Warning
21.69,39.47,30.74,0.43,29.84,241,243.93,4,17,0,35.18,9.3,131.36,Good
96.35,90.04,95.06,3.58,90.95,614,1835.4,2,12,0,165.18,40.54,40.99,Critical
78.31,67.71,67.83,1.95,64.94,357,732.14,3,2,0,97.91,25.62,86.12,Warning
93.29,87.05,87.05,3.73,83.81,622,1502.0,3,5,0,150.3,37.09,59.12,Critical
10.79,48.8,37.81,0.69,18.57,69,338.82,3,11,1,52.5,9.42,125.88,Good
34.33,38.01,30.75,0.47,45.26,147,459.22,5,16,0,38.19,7.68,119.63,Good
13.38,21.8,17.28,0.03,39.31,212,182.48,3,3,0,19.31,9.69,121.81,Good
83.97,58.48,75.24,2.01,53.84,291,730.75,2,16,0,110.46,25.7,76.04,Warning
42.46,33.32,36.24,0.04,29.81,262,315.21,3,1,0,36.25,8.15,121.69,Good
88.98,92.18,90.79,3.75,81.29,789,1693.81,2,15,0,148.7,37.65,46.77,Critical
20.35,23.06,51.4,0.53,25.87,208,278.45,6,3,0,27.89,12.74,123.17,Good
41.82,22.81,44.07,0.55,21.15,109,71.58,5,19,1,29.66,14.35,126.12,Good
83.72,67.03,73.6,2.15,64.18,592,806.76,3,15,0,107.73,30.88,76.13,Warning
33.8,36.7,45.82,0.54,47.47,172,304.3,7,13,0,33.75,11.51,120.56,Good
37.81,22.7,30.91,0.61,26.87,249,261.67,7,23,0,22.79,6.45,122.93,Good
26.2,55.58,41.07,0.15,33.65,103,375.63,4,0,0,32.5,11.99,118.57,Good
27.39,23.43,16.27,0.0,10.38,34,384.74,3,17,0,22.53,8.19,130.72,Good
96.24,79.57,91.88,3.96,90.56,611,1503.65,1,1,0,161.93,40.25,39.59,Critical
34.53,46.79,52.35,0.74,31.64,69,305.68,4,17,0,52.32,12.28,112.28,Good
82.12,80.94,67.81,1.79,60.77,618,1170.51,3,15,0,102.93,24.12,72.12,Warning
83.56,60.34,58.62,1.7,50.23,527,1494.14,2,5,0,109.88,23.16,91.99,Warning
67.35,53.77,63.77,1.97,81.85,685,1293.47,2,1,0,111.61,28.13,82.87,Warning
76.14,80.08,82.99,1.59,51.03,465,1195.33,2,2,0,112.13,24.44,75.84,Warning
78.63,50.97,51.99,0.63,74.24,449,811.65,3,8,1,95.27,22.49,98.7,Warning
81.03,55.72,82.61,2.39,79.88,522,1315.35,2,8,1,137.48,34.36,65.72,Warning
96.28,96.22,83.38,4.26,82.93,841,1411.24,1,0,0,163.65,36.35,42.01,Critical
56.36,62.66,76.48,1.24,73.61,316,1347.41,3,13,0,98.38,20.42,81.84,Warning
98.55,80.01,85.28,4.25,99.03,910,1780.45,1,15,0,174.99,43.65,49.53,Critical
74.19,65.95,66.02,0.53,51.96,453,1371.52,4,5,0,78.45,17.02,98.06,Good
12.07,55.09,10.53,0.06,42.2,218,205.18,4,0,0,20.29,9.09,123.57,Good
51.35,23.24,51.14,0.49,27.92,298,606.96,4,14,0,49.12,14.03,118.12,Good
79.32,72.69,80.7,1.26,68.6,372,676.86,3,10,1,114.34,26.23,73.48,Warning
94.11,77.97,91.82,4.92,83.14,702,1705.76,1,15,0,172.95,44.49,35.42,Critical
58.74,77.88,72.46,2.25,76.39,498,741.97,3,6,0,105.69,28.37,79.52,Warning
36.21,44.09,18.72,0.2,49.58,290,612.23,4,13,0,34.06,9.19,124.0,Good
14.28,25.48,45.68,0.44,15.28,208,655.04,6,5,0,23.25,9.56,121.95,Good
69.41,70.96,56.31,1.46,71.32,656,1058.2,5,7,0,98.31,23.95,100.83,Warning
60.79,51.83,81.62,2.39,74.08,650,713.96,5,11,1,109.18,31.55,85.08,Warning
67.47,54.12,61.56,1.95,69.48,692,746.99,3,12,0,96.46,28.26,78.59,Warning
10.91,50.73,28.05,0.82,38.33,80,235.68,6,20,1,37.03,17.86,124.39,Good
36.11,33.57,33.84,0.67,24.02,54,61.45,7,19,1,27.7,12.42,123.16,Good
50.42,38.68,27.65,0.72,46.38,44,158.7,7,20,1,46.52,15.16,125.71,Good
60.27,72.09,54.31,1.48,71.21,307,787.47,3,12,0,85.7,20.39,89.96,Warning
58.69,66.51,71.96,2.2,54.19,518,1195.81,5,17,0,91.76,27.53,86.49,Warning
50.72,58.1,26.45,0.38,39.73,143,56.47,4,13,0,38.09,9.39,119.74,Good
94.31,96.52,80.19,4.92,86.83,783,1551.57,1,23,0,168.67,45.38,45.41,Critical
31.08,52.36,51.53,0.24,31.58,257,108.57,4,14,0,46.39,11.63,118.97,Good
74.19,64.27,73.62,1.29,64.06,387,851.42,3,2,0,97.74,21.81,80.18,Warning
17.02,51.26,44.3,0.79,46.86,126,156.04,6,5,0,36.08,14.69,114.66,Good
62.7,68.59,82.96,1.65,81.95,406,1384.9,5,14,0,99.29,25.76,83.69,Warning
82.1,50.73,66.61,2.36,60.79,627,1120.7,3,4,0,112.24,27.69,79.27,Warning
79.26,59.42,80.87,0.61,82.64,458,1297.37,4,18,1,104.46,22.43,82.93,Warning
56.84,67.13,54.69,2.14,60.23,411,716.9,5,18,1,95.42,29.82,95.52,Warning
92.89,84.3,92.36,3.94,87.88,958,1830.03,3,16,0,158.24,41.69,53.94,Critical
93.0,89.25,94.07,3.3,98.49,716,1445.96,3,14,0,151.07,38.61,57.51,Critical
96.85,85.03,88.6,2.87,80.95,714,1489.33,1,6,0,138.42,32.78,47.39,Warning
40.7,50.06,18.15,0.04,13.24,166,520.49,3,19,1,42.3,11.18,132.24,Good
55.99,60.37,80.48,0.54,66.81,365,1226.95,4,7,0,81.9,20.09,88.84,Warning
70.3,50.15,69.43,2.37,58.38,419,907.87,3,8,1,102.37,30.26,83.88,Warning
49.43,41.03,50.02,0.33,12.48,174,514.9,7,4,0,34.54,10.05,131.24,Good
78.15,79.51,74.88,1.52,70.03,546,967.31,4,19,1,111.09,28.88,90.59,Warning
71.41,80.86,65.71,0.62,78.78,609,676.39,5,14,0,91.41,20.94,101.67,Warning
58.19,79.38,76.08,0.62,53.38,257,972.17,3,4,0,91.34,18.37,97.05,Warning
82.04,79.08,82.85,2.24,79.75,268,715.89,5,0,0,102.56,24.54,78.9,Warning
32.44,57.38,16.74,0.42,46.46,135,549.25,7,4,0,31.24,11.28,129.1,Good
70.99,51.24,83.28,1.05,45.65,692,780.47,3,14,0,84.89,22.35,91.94,Warning
86.45,87.65,95.01,2.98,80.63,914,1451.13,3,15,0,141.9,37.65,58.64,Warning
96.49,76.96,91.65,4.1,80.02,942,1619.26,1,6,0,169.22,41.24,45.97,Critical
69.85,65.12,64.36,1.51,59.68,546,1386.84,5,7,0,92.75,22.04,88.84,Warning
64.14,51.85,63.08,1.94,58.08,315,723.74,3,15,0,85.03,25.43,87.23,Warning
18.82,57.04,14.75,0.05,45.18,32,556.9,7,12,0,23.31,9.18,132.04,Good
91.38,80.07,85.86,4.23,98.49,635,1813.93,2,21,1,179.5,48.32,42.25,Critical
94.64,76.93,95.93,4.8,81.19,600,1993.01,3,15,0,156.17,44.32,37.51,Critical
30.89,26.58,42.88,0.97,28.78,48,549.67,7,18,1,47.7,14.74,131.72,Good
92.45,99.75,96.39,2.61,86.41,704,1617.86,3,19,1,146.29,36.09,72.13,Critical
84.55,79.17,80.39,3.07,80.48,940,1821.05,1,18,1,157.53,40.18,58.89,Critical
83.44,87.16,94.68,4.43,95.69,764,1534.63,2,3,0,159.01,46.8,44.61,Critical
17.49,25.91,24.17,0.59,24.34,90,555.14,4,0,0,25.09,10.25,127.67,Good
12.9,28.05,30.11,0.96,38.91,298,494.48,7,11,1,42.21,15.68,124.73,Good
60.28,66.52,58.23,1.62,50.03,539,680.71,5,1,0,79.13,20.83,93.91,Warning
78.47,73.98,73.5,0.8,58.85,359,1265.79,3,9,1,104.16,19.75,89.83,Warning
91.54,80.56,80.8,3.88,82.66,815,1676.63,1,23,0,153.52,38.29,51.53,Critical
82.96,93.64,92.72,2.97,83.41,605,1545.65,3,1,0,148.95,35.15,51.3,Critical
80.77,66.38,57.47,2.37,76.86,493,1185.16,2,11,1,124.18,33.23,71.67,Warning
21.52,28.9,19.0,0.74,45.5,245,117.76,3,20,1,50.42,11.18,111.11,Good
85.96,99.46,84.06,2.78,95.02,815,1680.91,3,16,0,152.42,35.52,69.15,Critical
95.02,94.46,99.13,3.17,85.35,625,1435.56,3,12,0,157.52,36.06,58.42,Critical
25.14,39.26,40.18,0.5,46.51,184,662.1,3,13,0,49.5,13.7,115.26,Good
74.08,83.12,57.25,2.48,78.24,339,1259.93,4,4,0,110.64,27.77,82.84,Warning
55.31,57.16,77.17,1.05,64.97,303,748.63,2,20,1,93.53,23.67,77.59,Warning
37.15,35.02,25.89,0.83,10.38,111,421.44,3,11,1,47.36,14.04,112.27,Good
57.47,79.99,70.74,0.67,77.18,629,1379.8,2,0,0,106.14,22.28,83.05,Warning
83.88,69.99,52.98,1.69,72.46,616,1413.96,4,20,1,105.59,24.37,93.6,Warning
26.63,44.27,30.37,0.78,27.02,90,169.23,4,11,1,48.2,13.33,120.72,Good
90.11,82.92,97.93,2.58,80.56,795,1798.23,2,7,0,143.85,34.29,63.48,Warning
69.98,54.49,78.2,1.73,50.42,302,884.05,2,17,0,91.71,23.66,80.48,Warning
92.01,90.86,95.26,2.88,99.47,802,1557.15,2,19,1,151.94,43.14,55.1,Critical
60.55,60.7,77.09,1.41,80.29,537,1199.58,5,22,0,101.91,25.7,80.42,Warning
27.97,46.65,53.54,0.43,18.01,119,533.73,6,8,1,37.37,10.22,117.83,Good
79.02,67.1,78.19,1.35,84.97,358,955.76,5,12,0,102.6,24.16,85.64,Warning
30.73,58.22,24.1,0.9,19.15,125,424.34,5,13,0,34.4,7.97,126.43,Good
85.63,82.88,98.06,3.09,90.96,904,1600.93,1,20,1,164.92,36.1,41.86,Critical
81.0,97.05,97.04,3.77,89.8,666,1946.83,3,3,0,156.61,39.93,56.33,Critical
90.13,95.36,96.72,3.4,88.01,953,1704.23,1,23,0,166.79,37.46,45.4,Critical
59.81,74.57,74.23,1.42,50.41,610,1190.61,4,1,0,96.09,19.16,91.76,Warning
27.14,34.19,12.72,0.47,49.79,226,287.82,5,11,1,36.41,13.91,123.89,Good
85.58,78.61,86.63,3.96,94.07,838,1698.89,1,22,0,165.17,41.65,47.31,Critical
78.23,71.21,67.31,2.33,60.08,633,875.77,5,15,0,94.57,25.88,74.43,Warning
94.65,77.77,84.24,4.94,94.53,722,1582.32,3,13,0,157.42,43.74,49.8,Critical
74.73,67.91,51.0,0.63,60.35,395,1348.24,5,17,0,83.87,16.76,97.46,Warning
41.12,33.44,21.73,0.96,41.08,290,331.9,5,3,0,44.69,16.19,118.62,Good
58.68,68.9,71.39,2.5,84.01,268,1374.65,2,1,0,119.03,32.16,63.23,Warning
44.32,24.82,44.32,0.44,44.22,192,164.68,5,18,1,49.91,15.96,119.23,Good
86.81,75.05,91.09,3.09,94.91,785,1908.2,2,20,1,156.48,36.42,56.03,Critical
85.3,97.29,81.43,4.59,81.83,633,1980.43,1,16,0,167.78,45.79,43.38,Critical
80.43,80.17,71.57,2.36,65.0,693,1458.3,3,15,0,118.81,30.84,80.48,Warning
77.65,82.44,76.04,1.12,67.47,568,603.53,2,9,1,115.18,24.15,82.22,Warning
16.02,50.87,19.78,0.22,21.0,198,639.49,7,15,0,13.22,7.99,134.26,Good
18.9,33.54,45.75,0.79,48.1,126,252.92,7,23,0,35.84,14.47,117.8,Good
15.57,37.83,46.83,0.77,19.41,163,303.02,6,23,0,21.6,11.83,119.61,Good
81.7,80.59,84.23,1.52,78.23,647,672.73,3,23,0,113.93,28.54,74.04,Warning
11.71,39.54,35.84,0.9,45.28,201,105.55,5,21,1,49.33,17.89,114.08,Good
53.59,40.19,30.55,0.17,36.46,28,290.93,3,14,0,45.89,7.27,123.01,Good
64.96,73.42,59.05,1.95,45.64,515,824.69,5,10,1,88.07,29.43,101.1,Warning
95.52,90.75,99.65,4.21,99.51,802,1805.09,2,14,0,177.55,45.25,37.83,Critical
83.99,75.56,60.52,1.65,68.96,548,683.97,4,7,0,99.99,22.92,90.86,Warning
98.19,77.62,99.81,3.24,81.68,631,1757.2,3,13,0,142.29,35.71,54.79,Warning
14.53,30.71,28.47,0.06,44.87,253,402.43,3,13,0,36.84,12.11,124.86,Good
58.41,66.69,62.47,1.48,81.87,310,700.36,3,2,0,90.61,25.6,95.25,Warning
43.18,47.6,34.44,0.57,14.23,282,371.71,5,18,1,40.72,10.64,124.32,Good
56.4,58.77,62.38,1.98,64.77,496,1335.22,2,4,0,101.99,24.79,73.49,Warning
97.99,94.07,96.94,4.77,98.25,845,1457.1,2,16,0,170.61,46.75,41.56,Critical
81.14,92.95,91.62,3.75,99.42,799,1512.93,1,21,1,163.75,44.53,41.09,Critical
86.86,96.41,94.03,4.42,86.29,934,1502.18,1,13,0,168.71,44.13,33.77,Critical
70.04,58.67,73.98,1.91,59.32,504,830.91,5,18,1,109.71,28.09,89.06,Warning
64.63,58.64,64.32,1.82,53.88,336,986.95,5,22,0,75.05,22.43,96.24,Warning
90.54,96.25,81.2,3.07,85.19,779,1908.41,2,23,0,157.99,35.97,52.69,Critical
49.87,26.98,38.35,0.64,21.25,213,237.3,4,23,0,35.25,7.21,118.77,Good
43.17,56.65,14.84,0.19,49.45,198,183.05,6,20,1,42.84,14.17,126.83,Good
28.03,48.24,35.46,0.93,11.02,61,552.78,5,18,1,44.67,14.37,119.56,Good
84.45,83.12,84.05,2.4,45.31,254,603.94,4,17,0,112.33,26.87,77.52,Warning
14.23,46.27,32.73,0.03,48.79,250,158.38,4,7,0,29.44,9.53,109.94,Good
74.33,82.8,53.78,0.7,79.11,492,748.63,4,13,0,85.61,20.32,98.34,Warning
80.73,94.97,82.76,3.06,91.54,707,1796.81,3,14,0,144.45,34.15,52.72,Warning
88.65,98.15,90.06,3.37,99.43,740,1417.35,3,3,0,157.44,38.53,44.55,Critical
77.38,67.51,51.58,0.65,76.55,519,822.13,2,17,0,97.2,19.83,97.46,Warning
88.91,99.58,85.93,3.1,92.76,820,1647.49,3,8,1,149.43,41.5,64.19,Critical
58.78,56.62,60.13,2.28,51.92,392,1240.72,5,14,0,92.91,28.67,94.05,Warning
83.68,90.34,81.04,2.76,93.49,672,1673.22,1,0,0,148.46,33.92,53.7,Critical
94.75,97.55,84.73,3.64,83.69,775,1675.61,1,7,0,159.65,40.27,50.03,Critical
67.11,71.29,76.35,1.97,45.79,638,771.14,5,18,1,90.2,27.99,89.5,Warning
60.11,50.78,61.79,2.23,46.74,624,1296.99,4,4,0,86.68,23.23,91.39,Warning
76.55,54.26,74.32,1.4,77.46,476,716.6,2,23,0,110.48,21.72,76.77,Warning
95.06,99.05,85.92,2.91,90.06,731,1972.53,3,15,0,147.33,33.18,58.97,Critical
35.36,49.06,31.69,0.53,15.56,99,653.67,5,16,0,34.39,7.6,132.39,Good
64.59,66.21,55.14,1.21,79.3,656,638.19,4,8,1,99.56,25.4,90.61,Warning
97.64,75.81,95.03,4.14,95.35,706,1983.88,2,14,0,169.06,41.88,35.41,Critical
67.5,61.43,60.02,2.26,51.47,298,1172.09,5,0,0,80.6,25.46,100.53,Warning
49.33,49.28,43.38,1.0,42.1,66,374.67,5,20,1,61.34,16.32,109.25,Good
67.0,64.49,59.83,1.75,59.44,560,881.69,3,12,0,98.51,23.77,92.5,Warning
90.91,80.5,86.75,3.45,99.46,769,1895.32,2,10,1,159.61,42.82,47.34,Critical
63.47,80.31,62.52,1.49,47.54,450,1373.58,5,19,1,93.52,24.09,101.33,Warning
90.2,90.97,91.53,3.71,96.92,964,1609.14,2,6,0,155.56,40.77,40.07,Critical
36.57,56.64,47.59,0.18,40.64,220,632.97,7,22,0,38.74,10.93,123.34,Good
81.31,54.16,64.52,1.04,45.6,549,1296.36,2,2,0,91.25,20.88,97.31,Warning
78.32,70.34,60.03,1.97,68.57,327,1348.83,3,3,0,111.95,25.04,84.1,Warning
24.39,54.46,50.63,0.89,42.35,283,697.34,6,13,0,49.49,16.87,108.42,Good
70.0,69.97,74.95,2.06,55.86,394,1388.59,4,9,1,102.26,27.36,88.51,Warning
10.81,23.75,16.64,0.08,45.88,28,170.1,3,11,1,27.43,11.49,123.69,Good
95.69,95.86,85.53,3.67,89.18,768,1451.47,3,14,0,150.26,38.35,52.99,Critical
81.2,55.97,57.69,1.2,82.08,321,746.64,5,13,0,85.0,21.15,96.24,Warning
65.71,78.27,73.56,0.58,59.03,632,817.65,2,8,1,101.95,21.24,86.18,Warning
94.33,90.27,97.05,3.21,97.7,842,1640.54,1,4,0,160.28,37.26,44.94,Critical
12.02,31.7,49.0,0.34,14.95,243,140.18,4,4,0,25.13,5.91,121.72,Good
99.63,95.37,86.3,3.51,84.85,817,1717.91,2,2,0,150.57,35.84,44.02,Critical
64.44,54.18,60.86,1.37,55.22,411,1213.04,5,21,1,86.63,24.91,93.12,Warning
93.71,85.34,87.23,4.34,94.82,876,1711.01,3,16,0,159.38,44.27,43.95,Critical
71.85,50.01,54.0,1.25,47.13,368,978.12,5,6,0,73.91,19.44,111.72,Good
49.59,37.79,51.92,0.5,37.77,70,534.35,4,14,0,55.49,12.89,110.94,Good
16.17,39.52,42.53,0.97,44.47,165,685.67,3,17,0,56.76,18.1,104.64,Good
35.31,22.98,25.66,0.23,38.76,65,384.94,5,23,0,24.11,11.35,132.39,Good
50.35,42.46,34.2,0.26,43.4,252,330.15,4,6,0,43.29,9.05,120.95,Good
34.57,48.01,54.92,0.36,45.85,206,117.17,5,20,1,51.55,15.98,109.82,Good
63.66,77.89,77.94,2.05,65.99,561,862.22,4,14,0,104.85,24.38,81.29,Warning
91.31,93.23,92.72,5.0,89.13,931,1644.18,3,1,0,161.93,45.91,45.74,Critical
69.5,74.13,83.3,0.72,78.34,475,731.55,3,15,0,95.93,26.01,85.02,Warning
34.07,47.39,30.19,0.86,44.78,67,583.82,7,22,0,36.07,16.35,125.23,Good
35.57,20.16,24.06,0.21,36.17,184,438.49,3,20,1,49.49,12.57,127.78,Good
52.91,53.79,21.72,0.62,46.93,121,376.97,6,2,0,41.23,14.01,123.4,Good
61.11,72.63,74.05,1.01,69.02,263,1119.78,3,6,0,90.23,21.53,89.08,Warning
66.75,66.25,52.67,1.61,58.15,548,949.42,5,12,0,79.94,21.43,90.58,Warning
68.1,59.42,74.51,0.75,47.12,391,1017.31,4,10,1,89.62,19.01,100.67,Warning
35.89,31.81,29.0,0.49,33.77,92,295.46,7,12,0,27.67,5.64,135.16,Good
81.96,74.82,83.98,1.77,83.54,346,895.89,3,4,0,113.47,27.55,76.65,Warning
33.47,45.95,24.18,0.71,49.0,40,242.26,4,17,0,34.68,12.4,113.23,Good
83.34,96.26,84.83,3.97,93.71,726,1773.61,1,8,1,161.89,41.19,49.71,Critical
34.87,43.14,29.2,0.07,45.73,186,553.97,3,11,1,49.28,12.73,122.31,Good
61.09,80.18,61.99,2.39,47.87,311,1056.29,3,8,1,108.91,23.58,87.99,Warning
90.56,75.75,99.7,2.69,93.92,822,1549.59,3,22,0,149.13,35.09,46.04,Critical
90.21,86.69,93.45,3.15,86.5,693,1719.08,3,5,0,146.24,37.6,62.32,Critical
98.86,80.81,80.97,3.23,87.98,862,1933.13,3,2,0,157.08,37.49,61.88,Critical
17.09,22.84,10.44,0.31,25.69,272,91.99,5,18,1,27.24,9.43,127.47,Good
73.07,70.57,54.12,1.7,61.39,647,1495.11,2,18,1,110.92,28.85,95.2,Warning
76.15,52.88,62.45,1.37,55.43,521,605.74,5,18,1,92.24,25.34,97.55,Warning
58.09,55.65,67.56,2.35,54.89,599,1484.22,4,17,0,103.81,27.02,82.13,Warning
43.51,30.82,38.29,0.92,22.66,137,383.94,5,17,0,40.85,13.37,122.71,Good
87.91,83.44,83.85,2.95,86.42,831,1461.47,3,8,1,144.37,37.87,60.51,Warning
49.22,56.09,25.25,0.35,33.19,106,648.13,7,7,0,39.27,10.97,131.96,Good
79.62,82.02,56.09,2.28,49.79,531,1327.39,5,21,1,104.65,28.11,105.54,Warning
54.61,33.43,19.46,0.11,25.14,151,363.35,6,1,0,31.86,7.83,133.66,Good
73.17,54.48,84.88,2.05,80.09,625,1486.88,4,12,0,109.76,29.98,77.53,Warning
15.97,56.81,26.31,0.31,44.32,219,614.85,5,16,0,37.3,9.99,121.97,Good
81.7,66.36,79.74,1.15,58.58,386,1255.4,5,5,0,100.37,22.21,93.14,Warning
97.54,76.17,86.07,3.61,83.45,941,1846.95,1,12,0,155.75,38.26,49.92,Critical
78.17,72.32,72.09,2.01,54.08,524,952.9,4,22,0,104.04,23.7,85.04,Warning
11.2,57.91,40.77,0.96,44.55,209,374.39,3,7,0,52.52,14.15,104.05,Good
70.3,60.58,69.77,0.75,75.23,597,1121.67,4,15,0,94.39,19.63,87.81,Warning
48.61,32.55,18.81,0.52,46.41,104,531.2,6,16,0,41.68,9.91,123.39,Good
93.38,85.95,91.47,4.36,95.46,937,1969.97,1,7,0,168.68,48.03,32.62,Critical
31.12,47.64,45.97,0.49,16.61,119,561.09,5,21,1,52.53,13.36,120.9,Good
86.66,86.81,84.01,2.54,85.79,609,1699.74,2,1,0,136.4,35.68,69.19,Warning
72.92,83.15,56.75,2.31,47.14,363,1045.83,2,5,0,115.0,25.32,84.11,Warning
91.51,95.62,99.74,3.25,82.37,981,1821.12,2,19,1,156.97,42.87,48.95,Critical
75.87,83.36,83.71,1.61,69.26,350,1103.47,4,16,0,105.01,27.03,77.22,Warning
12.24,53.27,23.96,0.06,12.99,106,439.08,7,19,1,22.82,8.98,140.34,Good
15.22,55.71,38.78,0.24,25.47,230,461.46,7,11,1,26.79,11.71,124.49,Good
62.46,60.52,71.47,2.39,71.99,486,930.13,5,1,0,93.6,24.12,87.15,Warning
88.59,99.44,81.14,3.97,91.67,729,1413.89,3,7,0,146.55,41.8,56.28,Critical
89.94,80.86,83.87,3.06,94.17,772,1841.58,3,16,0,145.81,35.7,58.07,Critical
95.39,81.05,99.7,4.76,90.57,714,1692.51,3,6,0,158.87,44.97,47.03,Critical
93.42,89.95,83.84,3.05,80.95,702,1656.04,2,11,1,151.09,39.64,60.99,Critical
58.65,50.09,82.12,0.66,80.91,285,981.55,5,16,0,74.37,21.56,90.92,Warning
94.76,83.18,96.54,4.42,85.63,983,1470.9,2,23,0,162.91,45.73,48.79,Critical
